campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,z_score_budget,z_score_roi,cost_per_conversion,is_profitable
Horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,B2B,promotion,0.8477965120486286,41004.95,-7361.550000000003,-0.03450409681554816,-1.244650615544435,57049.66,False
Inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,B2C,organic,4.598340657193899,390736.64,305763.24,0.08248845771213405,-1.435927604011759,18479.14,True
Polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,B2C,organic,12.412510476720927,463541.48,426196.77999999997,-0.06972883689168705,1.7010150068523564,3008.63,True
Managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,B2C,promotion,31.721653309690538,456537.4,442145.42000000004,-0.14308378762935184,-1.1681398201575053,453.7,True
Seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,B2B,organic,0.1409633725943555,14073.59,-85765.04000000001,0.12999647481660176,0.36207608758108767,708259.37,False
Networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,B2B,referral,32.6147212901859,948309.55,919233.43,-0.09615451884007661,0.285565292194158,891.5,True
Open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,B2B,promotion,11.299109924050127,993906.77,905943.49,0.09204386117244417,0.5916084737418764,7784.97,True
Secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,B2C,paid,17.773985367789113,958654.12,904718.32,-0.016705085319600105,-0.364776468594744,3034.54,True
Seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,B2B,paid,13.087297463000036,932824.61,861547.51,0.0387162419665371,-1.244650615544435,5446.28,True
Configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,B2C,paid,26.928977592966017,430007.3,414039.1,-0.13804632189754654,-0.020477889353560475,592.97,True
Customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,B2C,paid,16.966793963693817,924154.29,869685.88,-0.015002908831916394,0.6298638714353413,3210.29,True
Cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,B2B,promotion,2.4605151157829988,72323.84,42930.06,-0.09513930436217044,-0.7473304455293921,11946.19,True
Vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,B2B,referral,4.596623884020074,42048.95,32901.159999999996,-0.1598437750778527,1.394971825304638,1990.11,True
Ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,B2B,organic,7.00884301179543,482216.95,413415.73,0.030803539008788742,0.2473098945006931,9816.34,True
Vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,0.91,podcast,B2C,organic,208.7061878900372,273231.88,271922.71,-0.18489534125176474,1.433227222998103,6.27,True
Ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,B2B,organic,25.940537973984675,704768.1,677599.5,-0.1022507913354981,0.7828854622092007,1047.34,True
Programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,B2B,paid,2.9359084139516014,116505.36,76822.45999999999,-0.062256147562718266,1.586248813771962,13516.4,True
Cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,B2C,promotion,6.9191513397745315,617379.96,528152.26,0.09608484049043864,1.394971825304638,12895.76,True
Secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,B2C,promotion,5.901663850367481,571977.28,475059.31000000006,0.12066229261852376,0.05603290603336924,16422.14,True
Seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,B2B,organic,34.75080507608371,984261.3,955937.89,-0.09856011630171722,1.165439439143849,815.04,True
Intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,B2B,referral,1.2174927870318326,77500.94,13844.760000000002,0.014360426569682828,-1.397672206318294,52284.65,True
Mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,B2B,organic,3.0535728192159985,210953.33,141869.22999999998,0.03170759954996517,-0.09698868474049019,22624.02,True
Organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,B2B,paid,7.302164592915136,477907.76,412460.35,0.020085046066188147,-0.13524408243395505,8962.74,True
User-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,B2B,organic,32.373600058636804,658107.7,637779.1699999999,-0.12411107621206954,1.7392704045458214,627.94,True
Programmable discrete intranet,2023-03-05,2024-02-13,8041.9,0.5,social media,B2B,paid,70.60624354940997,567808.35,559766.45,-0.16337810593150648,-0.13524408243395505,113.9,True
Future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,B2C,promotion,24.809306441332396,472138.22,453107.52999999997,-0.1282588630218843,-0.5560534570620681,767.08,True
Re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,0.87,email,B2B,referral,64.89055953761002,397435.21,391310.51,-0.16950531488775442,1.2802056322242434,94.39,True
Diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,0.96,social media,B2C,referral,47.764911247170886,538367.39,527096.2000000001,-0.15305756837135528,1.6245042114654267,235.97,True
Function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,B2C,organic,20.21874219964374,570246.17,542042.3300000001,-0.09894225190306219,0.40033148527455253,1394.94,True
User-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,B2C,referral,4.306827875744757,430498.24,330541.08999999997,0.1303752547068033,0.36207608758108767,23209.0,True
Virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,B2B,paid,24.30559427824402,672667.53,644992.11,-0.10063103750532619,0.6298638714353413,1138.64,True
Open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,0.9,podcast,B2B,promotion,67.92692346213168,847778.95,835298.2,-0.14919191697081322,1.394971825304638,183.74,True
Reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,B2C,organic,9.70756210255122,816593.62,732474.29,0.07975892226812058,1.5097380183850326,8665.34,True
Fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,0.64,webinar,B2C,promotion,41.14504627362869,273952.77,267294.55000000005,-0.16780023011707978,0.40033148527455253,161.82,True
Organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,B2B,promotion,12.703788173085195,683796.77,629970.56,-0.017055325685506238,-1.2829060132378998,4237.02,True
Centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,B2C,promotion,4.283681527165933,364648.39,279523.39,0.08297295848292854,0.0942883037268341,19871.93,True
Persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,B2C,paid,0.37332973158564414,29575.48,-49645.32000000001,0.06410363492801564,0.2473098945006931,212200.62,False
Multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,B2C,paid,10.502792495785055,489015.27,442454.77,-0.04027591998213682,0.5150976783549471,4433.15,True
Re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,B2C,referral,6.738909267832083,383111.17,326260.55,-0.007389567267310001,1.165439439143849,8436.18,True
Right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,B2B,referral,2.9909622096195134,283711.16,188855.00999999998,0.11407289038079628,1.165439439143849,31714.26,True
Diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,B2B,promotion,8.030419035970223,749909.68,656526.05,0.10936684107334053,0.2473098945006931,11628.74,True
Intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,B2B,referral,16.4144958078673,429790.1,403606.52999999997,-0.10539886385697363,-0.2500102755143496,1595.15,True
Diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,B2B,promotion,8.59829215372876,852334.6,753206.24,0.12772651200346058,1.394971825304638,11528.84,True
Enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,B2B,referral,10.814445035217398,872159.47,791511.83,0.06866369482115812,1.394971825304638,7457.4,True
Function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,B2B,paid,28.278672828333132,873342.13,842458.71,-0.09037854098350094,0.36207608758108767,1092.11,True
Managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,B2C,organic,2.850470086136789,71257.79,46259.17999999999,-0.1091858957392997,-0.5177980593686032,8770.0,True
Enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,B2B,promotion,3.30491590664414,211910.58,147790.77,0.015842148814824288,-1.0533736270771108,19401.34,True
Adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,B2C,paid,14.033809968999016,850376.61,789781.76,0.004576674955855117,-0.17349948012741992,4317.78,True
Networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,B2C,organic,4.56847866439163,102385.82,79974.46,-0.11745452779232102,-0.09698868474049019,4905.65,True
Seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,B2B,promotion,18.198737243854257,871834.53,823928.2100000001,-0.03597479315264715,0.7828854622092007,2632.4,True
Exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,B2C,promotion,6.342010300972792,181056.53,152507.77,-0.09783991677204351,-0.9768628316901811,4501.53,True
Intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,B2B,referral,19.130733176306393,846562.3,802310.87,-0.04765551229624249,0.706374666822271,2313.11,True
Compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,B2C,referral,4.160439651972588,136858.12,103963.01,-0.08394934998350385,1.01241784836999,7906.64,True
Progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,B2B,organic,9.027664644133612,505421.93,449436.02999999997,-0.010153139210063349,1.394971825304638,6201.59,True
Sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,B2C,referral,35.76462793169302,830178.2,806965.9299999999,-0.11489488720962306,-1.5506937970921535,649.03,True
Devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,B2B,referral,6.841368699407395,287690.5,245638.9,-0.05468598281482318,-0.8238412409163218,6146.66,True
Front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,B2B,paid,5.922984003912337,472828.97,392999.44999999995,0.06604905253486273,0.5916084737418764,13477.92,True
Grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,B2C,organic,4.736160344125164,455474.93,359305.27,0.11827075718453155,-0.9768628316901811,20305.41,True
Implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,B2C,organic,8.51374325481263,619138.31,546416.0900000001,0.04333472319272789,0.974162450676525,8541.74,True
Reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,B2C,referral,0.5324633766393222,27754.76,-24370.44,-0.022491609696912093,-1.435927604011759,97894.43,False
Open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,B2B,referral,4.491876209672778,347402.29,270062.16,0.05809317276040309,-0.020477889353560475,17217.78,True
Intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,B2C,promotion,2.5037199462253352,244772.45,147008.94,0.12336456690439161,-1.1681398201575053,39047.3,True
Virtual 4thgeneration Graphical User Interface,2023-07-27,2024-03-27,15463.29,0.38,social media,B2B,promotion,62.29279215483897,963251.51,947788.22,-0.13965997152935292,-0.594308854755533,248.24,True
Reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,B2B,referral,10.469336294712127,536138.69,484928.30999999994,-0.025415296999934587,1.0889286437569192,4891.46,True
Enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,B2B,paid,31.67264684518819,508865.73,492799.32,-0.1377324510486038,0.5150976783549471,507.26,True
Stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,B2C,referral,9.27426230815884,828963.15,739579.96,0.09658177337204048,1.127184041450384,9637.77,True
Open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,B2B,organic,6.779648180763778,315646.86,269088.86,-0.040283909770573396,1.3184610299177082,6867.32,True
Future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,B2C,paid,5.10368536933303,317338.48,255160.18,0.009637247155819028,-0.9768628316901811,12183.02,True
Decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,B2B,promotion,16.602005791649134,335385.42,315183.92,-0.12451705334210927,0.8593962575961305,1216.81,True
Team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,B2C,organic,10.769497472618797,470023.84,426379.85000000003,-0.04959683913141006,-1.0533736270771108,4052.56,True
Expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,B2B,organic,36.801109304568136,759838.76,739191.59,-0.12309272973709623,1.2802056322242434,561.05,True
Secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,B2C,paid,19.06633048966269,567832.12,538050.19,-0.09389880980950634,-0.09698868474049019,1562.02,True
Synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,B2C,referral,7.230484315151521,643537.76,554534.35,0.09536802863106204,1.2802056322242434,12309.47,True
Programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,B2B,promotion,8.220143595372548,286374.76,251536.59000000003,-0.0777394946556679,0.05603290603336924,4238.15,True
Public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,0.91,webinar,B2B,paid,88.39518136860826,725706.76,717496.96,-0.16284151174010547,1.433227222998103,92.88,True
Synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,0.2,email,B2C,organic,67.74761120516571,882368.6,869344.25,-0.1474546173731623,-1.2829060132378998,192.25,True
Optional client-driven approach,2022-12-30,2024-07-02,9180.95,0.39,webinar,B2C,organic,10.140828563492883,93102.44,83921.49,-0.15973779852402983,-0.5560534570620681,905.35,True
Cloned exuding matrices,2023-06-03,2024-07-16,46215.77,0.65,email,B2C,paid,7.0643918731636415,326486.31,280270.54,-0.041377647889234336,0.4385868829680174,6542.07,True
Expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,0.86,email,B2C,organic,4.89622094518744,394021.52,313546.9,0.06811073754303898,1.2419502345307787,16436.07,True
Persistent incremental installation,2022-12-22,2024-01-27,12789.78,0.73,email,B2C,paid,40.363962476289664,516246.2,503456.42,-0.14820428324259013,0.7446300645157359,316.86,True
Integrated full-range encoding,2023-06-18,2024-03-01,42818.39,0.12,email,B2B,promotion,18.176369312344534,778282.87,735464.48,-0.052235386864707724,-1.5889491947856185,2355.72,True
Total system-worthy framework,2023-01-16,2023-08-10,77090.58,0.67,email,B2C,organic,10.61123447248678,818026.22,740935.64,0.057295632078663214,0.5150976783549471,7265.0,True
Persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,0.7,email,B2B,promotion,47.52626428936642,506589.58,495930.43,-0.15501359641724616,0.6298638714353413,224.28,True
Self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,0.85,email,B2B,referral,8.821950679723775,628222.4,557011.12,0.03850588681657868,1.2036948368373137,8072.06,True
User-centric responsive software,2022-09-24,2023-08-04,55105.95,0.39,email,B2B,paid,17.79469077295646,980593.34,925487.39,-0.01296538494397238,-0.5560534570620681,3096.76,True
Enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,0.21,email,B2C,promotion,3.9530859466197974,89740.19,67038.89,-0.1165279040885997,-1.244650615544435,5742.68,True
Upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,0.0,social media,B2B,paid,20.86953810087171,593949.35,565489.24,-0.09812323467000479,-2.048013967107196,1363.72,True
Assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.34,email,B2B,paid,1.430498600240148,116549.43,35074.73999999999,0.07130687663174903,-0.7473304455293921,56955.45,True
Reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,0.77,webinar,B2B,promotion,4.881958115175872,485297.93,385891.52,0.1286151362733775,0.8976516552895952,20362.0,True
Networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,0.5,podcast,B2C,organic,3.858100394231485,346320.53,256556.01,0.09780047178184959,-0.13524408243395505,23266.51,True
Diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,0.63,webinar,B2B,paid,13.181493851590226,155142.36,143372.65,-0.15146434063879285,0.36207608758108767,892.9,True
Organized directional service-desk,2022-10-17,2024-05-11,44085.8,0.97,webinar,B2B,referral,2.014395565011863,88806.24,44720.44,-0.04818485175974308,1.6627596091588916,21885.37,True
Balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,0.5,email,B2C,paid,16.517378158955758,523802.73,492090.51,-0.08772976632100445,-0.13524408243395505,1919.93,True
Reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,0.4,social media,B2B,organic,17.471470674876183,601996.12,567540.17,-0.07896103743016045,-0.5177980593686032,1972.13,True
Realigned intangible application,2023-07-06,2024-01-24,31468.43,0.47,email,B2B,promotion,4.683748442486644,147390.21,115921.78,-0.08850889853018643,-0.2500102755143496,6718.64,True
Front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,0.37,social media,B2C,paid,5.318484021659699,477285.33,387544.47000000003,0.09772485642408574,-0.6325642524489978,16873.39,True
Polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,0.55,webinar,B2B,paid,76.3701242984338,519790.34,512984.14,-0.1673272985599415,0.05603290603336924,89.12,True
Persevering content-based archive,2022-12-27,2024-01-04,21795.27,0.55,social media,B2B,promotion,18.243883649984607,397630.37,375835.1,-0.11942349929547916,0.05603290603336924,1194.66,True
De-engineered content-based budgetary management,2022-09-10,2023-10-06,29328.34,0.4,social media,B2B,promotion,3.163789699655691,92788.7,63460.36,-0.09534844506428648,-0.5177980593686032,9270.0,True
Inverse well-modulated forecast,2023-07-22,2024-07-11,7632.49,0.12,webinar,B2B,organic,102.56816320755088,782850.48,775217.99,-0.16468654564503532,-1.5889491947856185,74.41,True
Progressive web-enabled concept,2022-11-16,2024-05-17,46890.76,0.26,webinar,B2B,organic,5.522259609355873,258942.95,212052.19,-0.039220436970510246,-1.0533736270771108,8491.23,True
Visionary 4thgeneration help-desk,2022-11-23,2024-05-26,81853.53,0.54,webinar,B2C,referral,11.911186115003225,974972.63,893119.1,0.07251761721227529,0.017777508339904383,6871.99,True
Up-sized attitude-oriented task-force,2023-07-02,2024-04-07,46635.4,0.4,social media,B2C,promotion,14.85372270850041,692709.3,646073.9,-0.04003654592057674,-0.5177980593686032,3139.64,True
Sharable secondary migration,2023-04-04,2023-09-21,31531.6,0.5,webinar,B2C,referral,17.480018457674205,551172.95,519641.35,-0.0883070125559708,-0.13524408243395505,1803.87,True
Quality-focused methodical policy,2022-10-23,2023-10-10,51428.64,0.26,social media,B2C,referral,2.1548129602493864,110819.1,59390.46000000001,-0.024717756510267006,-1.0533736270771108,23866.87,True
Distributed multimedia encryption,2022-08-16,2024-01-22,83726.63,0.5,webinar,B2B,organic,5.473721562661724,458296.26,374569.63,0.07850388630050188,-0.13524408243395505,15296.11,True
Switchable user-facing archive,2022-10-22,2024-06-11,85417.27,0.78,webinar,B2C,referral,5.96608624930298,509606.8,424189.52999999997,0.08390702866947278,0.9359070529830601,14317.14,True
Virtual bottom-line parallelism,2022-08-16,2023-09-05,44082.14,0.5,email,B2C,organic,20.484538409432936,903002.29,858920.15,-0.048196548810014256,-0.13524408243395505,2151.97,True
Customer-focused mobile Graphic Interface,2023-01-19,2023-11-21,61946.3,0.89,webinar,B2C,paid,3.5152249609742627,217755.18,155808.88,0.008895794788903986,1.3567164276111732,17622.29,True
Networked asynchronous standardization,2023-06-06,2024-01-06,50168.89,0.14,email,B2B,referral,12.173882260500482,610750.16,560581.27,-0.028743810903461942,-1.5124383993986887,4121.03,True
Persevering coherent concept,2022-09-15,2023-12-13,54331.15,0.5,social media,B2B,promotion,18.268428148493083,992544.71,938213.5599999999,-0.015441580176238636,-0.13524408243395505,2974.05,True
Secured systemic groupware,2022-08-28,2023-10-17,72529.72,0.83,email,B2C,referral,1.3398193182050062,97176.72,24647.0,0.04271950948311088,1.127184041450384,54133.96,True
Team-oriented motivating productivity,2022-09-21,2023-09-06,40881.17,0.35,podcast,B2B,promotion,16.867942624929768,689581.23,648700.0599999999,-0.05842657804675583,-0.7090750478359275,2423.6,True
Seamless exuding model,2022-11-20,2023-08-05,68885.7,0.19,webinar,B2B,organic,2.3530403262215525,162090.83,93205.12999999999,0.03107352993963779,-1.3211614109313645,29275.19,True
Cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,48358.0,0.3,email,B2C,paid,10.501763100210926,507844.26,459486.26,-0.03453126209623255,-0.9003520363032516,4604.75,True
Face-to-face high-level synergy,2022-08-15,2024-06-03,98289.74,0.99,webinar,B2B,paid,8.261094494705143,811980.83,713691.09,0.1250463534519852,1.7392704045458214,11897.91,True
Compatible eco-centric access,2022-08-24,2023-09-04,4016.62,0.62,social media,B2B,referral,192.4642012438319,773055.56,769038.9400000001,-0.17624256017071244,0.3238206898876228,20.87,True
Down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,41419.79,0.74,social media,B2B,organic,6.980708738503985,289139.49,247719.69999999998,-0.05670519410767056,0.7828854622092007,5933.46,True
Streamlined non-volatile projection,2022-10-17,2024-01-19,52686.92,0.18,social media,B2B,organic,8.409479050967489,443069.55,390382.63,-0.020696400112672788,-1.3594168086248295,6265.18,True
Synergized client-driven algorithm,2023-04-11,2023-12-05,16420.77,0.92,social media,B2C,organic,38.492062796080816,632069.31,615648.54,-0.13659994647644855,1.4714826206915677,426.6,True
Cross-platform composite matrix,2022-10-30,2024-02-25,46976.52,0.1,webinar,B2C,organic,7.9067402183048054,371431.14,324454.62,-0.038946355267981674,-1.6654599901725482,5941.33,True
Networked background utilization,2023-03-12,2024-05-19,91122.63,0.5,social media,B2C,organic,9.122248446955492,831243.27,740120.64,0.1021408764112935,-0.13524408243395505,9989.05,True
Quality-focused composite challenge,2022-12-01,2024-01-28,4855.98,0.35,podcast,B2B,promotion,133.6502951000622,649003.16,644147.18,-0.17356003664185982,-0.7090750478359275,36.33,True
Enhanced asymmetric open system,2023-04-08,2023-12-20,54503.83,0.5,social media,B2B,promotion,1.451077841685621,79089.3,24585.47,-0.01488970950934687,-0.13524408243395505,37560.93,True
Innovative hybrid time-frame,2022-08-12,2023-12-21,12098.23,0.5,email,B2C,paid,22.367589308518685,270608.24,258510.00999999998,-0.15041441851991813,-0.13524408243395505,540.88,True
Re-engineered intangible intranet,2023-03-06,2024-03-15,14419.22,0.29,podcast,B2C,promotion,7.49578687335376,108083.4,93664.18,-0.14299673089454681,-0.9386074339967164,1923.64,True
Multi-channeled zero administration software,2023-01-09,2023-10-17,59892.4,0.68,email,B2B,promotion,15.69955186300766,940283.84,880391.44,0.00233170420094361,0.553353076048412,3814.91,True
Universal national adapter,2022-11-28,2024-07-05,5197.61,0.1,social media,B2C,referral,11.759558720257965,61121.6,55923.99,-0.17246821607242366,-1.6654599901725482,441.99,True
